Time,Open,High,Low,Last,Change,%Change,Volume
3/5/13,61.0334,61.6339,61.0155,61.5532,0.8962,1.48%,39710040
3/6/13,61.7414,61.7594,61.3202,61.4009,-0.1523,-0.25%,32436777
3/7/13,61.4546,61.6608,61.3471,61.5622,0.1613,0.26%,24297048
3/8/13,61.7773,61.8579,61.3919,61.6339,0.0717,0.12%,29191199
3/11/13,61.5532,61.8311,61.365,61.8131,0.1792,0.29%,25879581
3/12/13,61.6518,61.7773,61.2933,61.5891,-0.224,-0.36%,30772370
3/13/13,61.6608,61.7414,61.2933,61.5084,-0.0807,-0.13%,38268217
3/14/13,61.7235,61.849,61.5801,61.7146,0.2062,0.34%,35189067
3/15/13,61.7588,61.7948,61.3905,61.5432,-0.1714,-0.28%,34223830
3/18/13,60.9863,61.66,60.8426,61.4085,-0.1347,-0.22%,40258243
3/19/13,61.5702,61.7139,60.7438,61.2917,-0.1168,-0.19%,36885370
3/20/13,61.7499,61.8577,61.4354,61.7229,0.4312,0.70%,31208925
3/21/13,61.166,61.3097,60.8785,61.0222,-0.7007,-1.14%,33452480
3/22/13,61.2738,61.66,61.2019,61.6151,0.5929,0.97%,32102937
3/25/13,61.8127,61.9475,61.0941,61.3905,-0.2246,-0.36%,27729516
3/26/13,61.6241,61.7409,61.4893,61.7229,0.3324,0.54%,21968688
3/27/13,61.3097,61.8487,61.2109,61.8038,0.0809,0.13%,25090865
3/28/13,61.8127,62.0373,61.66,61.9565,0.1527,0.25%,26349230
4/1/13,61.9924,62.0643,61.3636,61.5343,-0.4222,-0.68%,31301856
4/2/13,61.8127,62.226,61.7768,62.0194,0.4851,0.79%,32763480
4/3/13,62.0553,62.1451,61.3007,61.4534,-0.566,-0.91%,39107987
4/4/13,61.4534,61.6241,61.139,61.4714,0.018,0.03%,35942242
4/5/13,60.5012,61.0492,60.3575,60.9593,-0.5121,-0.83%,61908376
4/8/13,60.9773,61.3007,60.8066,61.2827,0.3234,0.53%,19924638
4/9/13,61.4624,61.9475,61.166,61.696,0.4133,0.67%,34432730
4/10/13,61.8846,63.0344,61.8756,62.8907,1.1947,1.94%,61527963
4/11/13,62.738,63.0165,62.6751,62.8727,-0.018,-0.03%,41453626
4/12/13,62.747,62.8727,62.3517,62.8278,-0.0449,-0.07%,36503324
4/15/13,62.5943,62.6931,61.5163,61.5882,-1.2396,-1.97%,54319384
4/16/13,61.9655,62.4775,61.8127,62.4056,0.8174,1.33%,30816197
4/17/13,61.8397,61.8846,60.8246,61.1839,-1.2217,-1.96%,67019955
4/18/13,61.3816,61.3816,60.079,60.3395,-0.8444,-1.38%,63227708
4/19/13,60.4653,61.2917,60.3665,61.166,0.8265,1.37%,47941965
4/22/13,61.3816,62.0194,61.157,61.7948,0.6288,1.03%,38307455
4/23/13,62.1631,62.6122,61.8217,62.3877,0.5929,0.96%,59086658
4/24/13,62.226,62.5853,62.0912,62.3607,-0.027,-0.04%,49538117
4/25/13,62.5494,62.9266,62.5134,62.6931,0.3324,0.53%,29429685
4/26/13,62.5404,62.6751,62.226,62.4955,-0.1976,-0.32%,26810201
4/29/13,62.6841,63.3129,62.6661,63.0704,0.5749,0.92%,35235913
4/30/13,63.1422,63.5375,62.9177,63.5285,0.4581,0.73%,33558896
5/1/13,63.5195,63.6453,63.1063,63.2321,-0.2964,-0.47%,31770181
5/2/13,63.3399,64.1663,63.286,64.0316,0.7995,1.26%,35337543
5/3/13,64.6245,64.9838,64.5975,64.7862,0.7546,1.18%,37917375
5/6/13,64.9029,65.1365,64.849,65.0377,0.2515,0.39%,21422654
5/7/13,65.1185,65.1904,64.7592,65.0017,-0.036,-0.06%,28762903
5/8/13,64.9568,65.37,64.858,65.3161,0.3144,0.48%,27003936
5/9/13,65.1724,65.6665,65.1006,65.2263,-0.0898,-0.14%,32666222
5/10/13,65.3341,65.6485,65.2443,65.6216,0.3953,0.61%,23002733
5/13/13,65.5138,65.8641,65.4509,65.7024,0.0808,0.12%,33095476
5/14/13,65.6934,66.2414,65.6934,66.0438,0.3414,0.52%,40094812
5/15/13,65.918,66.2414,65.7563,66.1785,0.1347,0.20%,30173880
5/16/13,66.2684,66.5648,66.0707,66.1067,-0.0718,-0.11%,30338383
5/17/13,66.43,66.7714,66.2324,66.7445,0.6378,0.96%,34639566
5/20/13,66.5558,66.8612,66.3762,66.6456,-0.0989,-0.15%,27981107
5/21/13,66.6367,66.9601,66.3762,66.7175,0.0719,0.11%,28831799
5/22/13,66.7984,67.3284,65.7923,66.1336,-0.5839,-0.88%,66617415
5/23/13,65.5317,66.2055,65.4239,65.9809,-0.1527,-0.23%,53689010
5/24/13,65.5407,65.9629,65.3611,65.945,-0.0359,-0.05%,29428455
5/28/13,66.6995,66.9601,66.1696,66.3762,0.4312,0.65%,30129655
5/29/13,66.1067,66.2953,65.6845,66.0617,-0.3145,-0.47%,35728767
5/30/13,66.0887,66.7265,66.0707,66.4121,0.3504,0.53%,36057015
5/31/13,66.1606,66.6636,65.7294,65.8012,-0.6109,-0.92%,42696402
6/3/13,65.8551,65.936,65.0646,65.918,0.1168,0.18%,53002851
6/4/13,66.0438,66.3133,65.3072,65.5767,-0.3413,-0.52%,39246990
6/5/13,65.37,65.6126,64.6694,64.7233,-0.8534,-1.30%,54161765
6/6/13,64.8131,65.0467,64.2022,65.0377,0.3144,0.49%,69601756
6/7/13,65.3341,65.9989,65.1455,65.927,0.8893,1.37%,35590258
6/10/13,66.0707,66.2594,65.8102,65.954,0.027,0.04%,28267599
6/11/13,65.2802,65.8821,65.0736,65.2982,-0.6558,-0.99%,44841280
6/12/13,65.6845,65.7024,64.4448,64.5436,-0.7546,-1.16%,46819005
6/13/13,64.4628,65.5048,64.2741,65.3611,0.8175,1.27%,31425982
6/14/13,65.3611,65.4329,64.8311,64.9299,-0.4312,-0.66%,30832313
6/17/13,65.4689,65.936,65.2173,65.5587,0.6288,0.97%,36116134
6/18/13,65.6395,66.2234,65.6306,66.0977,0.539,0.82%,27675503
6/19/13,66.0887,66.1875,65.2892,65.3611,-0.7366,-1.11%,48029030
6/20/13,64.6065,64.8221,63.5914,63.807,-1.5541,-2.38%,67803165
6/21/13,63.7832,63.9544,62.9361,63.4678,-0.3392,-0.53%,57218507
6/24/13,62.9361,63.3236,62.3143,62.837,-0.6308,-0.99%,46043752
6/25/13,63.4498,63.5489,62.9091,63.2966,0.4596,0.73%,32067224
6/26/13,63.8192,63.9814,63.612,63.8643,0.5677,0.90%,26351523
6/27/13,64.1797,64.5402,64.0986,64.1346,0.2703,0.42%,26129379
6/28/13,63.9094,64.6032,63.7922,64.2248,0.0902,0.14%,31405504
7/1/13,64.6663,65.1529,64.5582,64.6213,0.3965,0.62%,27688247
7/2/13,64.5942,65.0448,64.2968,64.6483,0.027,0.04%,25600144
7/3/13,64.414,65.216,64.3599,64.9096,0.2613,0.40%,20914907
7/5/13,65.2881,65.4323,64.7564,65.4053,0.4957,0.76%,31954698
7/8/13,65.7297,65.7747,65.225,65.4683,0.063,0.10%,22819485
7/9/13,65.7657,66.009,65.4683,65.8648,0.3965,0.61%,28979857
7/10/13,65.7837,66.3425,65.7657,66.2433,0.3785,0.57%,28406914
7/11/13,66.9462,67.6131,66.9102,67.559,1.3157,1.99%,53018647
7/12/13,67.6041,67.9014,67.4238,67.8564,0.2974,0.44%,34864221
7/15/13,67.9104,68.0546,67.7392,68.0096,0.1532,0.23%,21961888
7/16/13,68.0727,68.1177,67.7482,67.9195,-0.0901,-0.13%,35229521
7/17/13,68.1267,68.2529,67.9014,68.0907,0.1712,0.25%,27333374
7/18/13,68.0727,68.2529,67.8113,67.9195,-0.1712,-0.25%,40258439
7/19/13,67.3337,67.3517,67.0183,67.2166,-0.7029,-1.03%,41873272
7/22/13,67.4689,67.568,67.2076,67.4148,0.1982,0.29%,23454331
7/23/13,67.541,67.55,66.8651,66.9192,-0.4956,-0.74%,27463546
7/24/13,67.577,67.6041,66.9823,67.1355,0.2163,0.32%,27106324
7/25/13,67.4869,67.6401,67.0994,67.559,0.4235,0.63%,25708677
7/26/13,67.2887,67.9285,67.1805,67.9195,0.3605,0.53%,23176556
7/29/13,67.7843,68.0727,67.6131,67.7933,-0.1262,-0.19%,23270674
7/30/13,68.0366,68.4421,67.9014,68.1538,0.3605,0.53%,26748665
7/31/13,68.2799,68.6764,68.1538,68.2799,0.1261,0.19%,27750856
8/1/13,68.7575,69.0729,68.6764,68.9738,0.6939,1.02%,18731570
8/2/13,68.9918,69.3793,68.8296,69.3613,0.3875,0.56%,20091279
8/5/13,69.2892,69.4604,69.1901,69.4064,0.0451,0.07%,17158893
8/6/13,69.3162,69.3793,68.7125,68.9918,-0.4146,-0.60%,26278182
8/7/13,68.8116,69.0008,68.37,68.8657,-0.1261,-0.18%,22505857
8/8/13,69.2441,69.3703,68.7575,69.2081,0.3424,0.50%,22187165
8/9/13,69.118,69.3343,68.7305,68.9287,-0.2794,-0.40%,20606857
8/12/13,68.6674,69.2171,68.6584,69.091,0.1623,0.24%,22766297
8/13/13,69.1811,69.6316,68.6854,69.4784,0.3874,0.56%,26540520
8/14/13,69.4514,69.5505,69.118,69.2171,-0.2613,-0.38%,33203125
8/15/13,68.4692,68.4782,67.8474,68.0456,-1.1715,-1.69%,43729278
8/16/13,68.0727,68.37,67.9014,68.0276,-0.018,-0.03%,26438410
8/19/13,68.0456,68.6043,67.8834,67.9014,-0.1262,-0.19%,32832391
8/20/13,68.0276,68.5142,67.9735,68.1988,0.2974,0.44%,20909686
8/21/13,68.0006,68.5683,67.7122,67.9645,-0.2343,-0.34%,34073245
8/22/13,68.2439,68.6764,68.2258,68.6314,0.6669,0.98%,19163786
8/23/13,69.145,69.1811,68.8476,69.091,0.4596,0.67%,22967596
8/26/13,69.136,69.6407,68.9828,69.127,0.036,0.05%,30544844
8/27/13,68.325,68.6494,67.55,67.7122,-1.4148,-2.05%,44464215
8/28/13,67.6581,68.2619,67.6311,67.9735,0.2613,0.39%,22738027
8/29/13,67.9465,68.7936,67.8564,68.4511,0.4776,0.70%,30281306
8/30/13,68.5232,68.5232,67.7663,68.0096,-0.4415,-0.64%,29105559
9/3/13,68.5773,68.8837,68.0727,68.3971,0.3875,0.57%,30229676
9/4/13,68.6133,69.2441,68.4241,69.127,0.7299,1.07%,30120274
9/5/13,69.163,69.4424,69.145,69.2441,0.1171,0.17%,19769591
9/6/13,69.4694,69.6947,68.5322,69.3253,0.0812,0.12%,30765763
9/9/13,69.5956,70.2534,69.5956,70.1363,0.811,1.17%,27921959
9/10/13,70.5328,70.5778,70.2174,70.4787,0.3424,0.49%,30649054
9/11/13,70.0101,70.3886,69.92,70.3435,-0.1352,-0.19%,31225220
9/12/13,70.3435,70.5148,70.1543,70.2985,-0.045,-0.06%,20343623
9/13/13,70.3886,70.4156,69.9651,70.3435,0.045,0.06%,18789840
9/16/13,70.9113,70.9383,69.9921,70.1543,-0.1892,-0.27%,28752022
9/17/13,70.2805,70.713,70.2715,70.6229,0.4686,0.67%,30163997
9/18/13,70.731,71.6142,70.5869,71.47,0.8471,1.20%,35193573
9/19/13,71.6772,71.8034,71.515,71.6412,0.1712,0.24%,29335498
9/20/13,71.8289,71.8922,71.3589,71.3951,-0.2461,-0.34%,29129614
9/23/13,71.7114,71.7747,70.916,71.2505,-0.1446,-0.20%,33544612
9/24/13,71.4041,71.6301,71.0155,71.2505,0,0.00%,24202796
9/25/13,71.2957,71.4041,70.8618,71.0064,-0.2441,-0.34%,25166030
9/26/13,71.2866,71.7295,71.2685,71.5578,0.5514,0.78%,24806772
9/27/13,71.1691,71.5939,71.0335,71.4674,-0.0904,-0.13%,27827080
9/30/13,70.7443,71.4855,70.5003,71.2957,-0.1717,-0.24%,31013767
10/1/13,71.2866,72.0549,71.2685,72.0187,0.723,1.01%,36654014
10/2/13,71.5035,72.0911,71.4583,71.9916,-0.0271,-0.04%,28216760
10/3/13,71.9012,72.0549,70.7714,71.151,-0.8406,-1.17%,47572211
10/4/13,71.151,71.8651,71.0878,71.7657,0.6147,0.86%,25285386
10/7/13,71.151,71.7205,71.1059,71.1691,-0.5966,-0.83%,22387136
10/8/13,71.1872,71.2324,69.7682,69.7953,-1.3738,-1.93%,48305135
10/9/13,69.958,69.9941,69.0089,69.5783,-0.217,-0.31%,71390908
10/10/13,70.3195,71.2143,70.3105,71.0516,1.4733,2.12%,53175563
10/11/13,70.8709,71.6662,70.8618,71.612,0.5604,0.79%,27896348
10/14/13,71.1691,72.1182,71.1149,72.1182,0.5062,0.71%,34819711
10/15/13,72.0459,72.4074,71.7476,71.838,-0.2802,-0.39%,42799030
10/16/13,72.1543,72.6876,72.1182,72.6514,0.8134,1.13%,51707516
10/17/13,72.308,73.0943,72.2628,73.0672,0.4158,0.57%,35618203
10/18/13,73.718,74.2784,73.5282,74.2512,1.184,1.62%,43843828
10/21/13,74.3959,74.6037,74.1789,74.4139,0.1627,0.22%,34493477
10/22/13,74.6761,74.9291,74.0524,74.5224,0.1085,0.15%,48619591
10/23/13,74.1518,74.2964,73.7089,74.0705,-0.4519,-0.61%,42065829
10/24/13,74.1066,74.5495,74.0072,74.3959,0.3254,0.44%,25618187
10/25/13,75.1099,75.2726,74.5676,74.9291,0.5332,0.72%,39644114
10/28/13,74.9291,75.0647,74.6128,74.9472,0.0181,0.02%,31662683
10/29/13,75.1641,75.2545,74.7484,75.0737,0.1265,0.17%,40801060
10/30/13,75.3449,75.4624,74.6399,75.0014,-0.0723,-0.10%,37102873
10/31/13,74.8116,75.2907,74.5495,74.8297,-0.1717,-0.23%,34640614
11/1/13,75.0557,75.1732,74.4772,74.8478,0.0181,0.02%,34157333
11/4/13,75.0647,75.0828,74.6941,74.9562,0.1084,0.14%,18635413
11/5/13,74.6489,75.2184,74.4501,75.0376,0.0814,0.11%,30951605
11/6/13,75.3359,75.3811,74.7755,75.0195,-0.0181,-0.02%,28297633
11/7/13,75.0105,75.137,73.5462,73.6095,-1.41,-1.88%,57723334
11/8/13,73.8716,74.6218,73.6728,74.6037,0.9942,1.35%,34829379
11/11/13,74.4682,74.6941,74.2422,74.4863,-0.1174,-0.16%,27463511
11/12/13,74.2603,74.7122,74.2241,74.6037,0.1174,0.16%,22247632
11/13/13,74.1247,75.5166,74.1157,75.5076,0.9039,1.21%,34680325
11/14/13,75.2816,75.7968,75.1461,75.7426,0.235,0.31%,34409596
11/15/13,75.7697,75.8872,75.5709,75.8872,0.1446,0.19%,22698138
11/18/13,75.8691,76.0228,75.0014,75.1461,-0.7411,-0.98%,35049614
11/19/13,75.1009,75.4624,74.8026,74.9291,-0.217,-0.29%,28262679
11/20/13,75.1461,75.4082,74.5314,74.7484,-0.1807,-0.24%,35600373
11/21/13,75.0466,75.5709,75.0014,75.5076,0.7592,1.02%,31116902
11/22/13,75.6432,75.9414,75.5799,75.9143,0.4067,0.54%,28059103
11/25/13,76.1855,76.2668,75.9053,76.0951,0.1808,0.24%,24008309
11/26/13,76.1222,76.6826,75.9505,76.4928,0.3977,0.52%,29461978
11/27/13,76.6374,77.0441,76.5832,77.0261,0.5333,0.70%,23939812
11/29/13,77.3153,77.5865,77.252,77.487,0.4609,0.60%,18486268
12/2/13,77.5774,77.6949,77.1436,77.2611,-0.2259,-0.29%,29158156
12/3/13,77.2068,77.4057,76.8995,77.1978,-0.0633,-0.08%,41106617
12/4/13,76.8814,77.5232,76.6284,77.2701,0.0723,0.09%,41149763
12/5/13,77.3334,77.4238,76.9809,77.1707,-0.0994,-0.13%,44066276
12/6/13,77.8305,77.8938,77.3605,77.7311,0.5604,0.73%,40762071
12/9/13,78.0474,78.2101,77.9118,78.0474,0.3163,0.41%,25004052
12/10/13,77.9118,78.1378,77.8395,77.9932,-0.0542,-0.07%,29834490
12/11/13,77.9751,78.0926,76.8814,76.9899,-1.0033,-1.29%,40748487
12/12/13,77.0441,77.2068,76.7368,76.7911,-0.1988,-0.26%,37243456
12/13/13,77.1526,77.1888,76.5651,76.6916,-0.0995,-0.13%,37700317
12/16/13,77.0803,77.5593,77.017,77.1165,0.4249,0.55%,27557995
12/17/13,77.1165,77.3063,76.8182,76.9628,-0.1537,-0.20%,27056270
12/18/13,77.0261,77.9299,75.9686,77.8576,0.8948,1.16%,75662151
12/19/13,77.722,77.7401,77.2972,77.6407,-0.2169,-0.28%,51434983
12/20/13,77.7517,78.5949,77.7335,78.4317,0.791,1.02%,44639118
12/23/13,79.0574,79.2568,78.8397,79.2568,0.8251,1.05%,31080773
12/24/13,79.275,79.3475,79.1299,79.2931,0.0363,0.05%,15277400
12/26/13,79.4291,79.6195,79.284,79.556,0.2629,0.33%,16808855
12/27/13,79.6377,79.7011,79.2568,79.3566,-0.1994,-0.25%,17460524
12/30/13,79.2478,79.3475,79.012,79.2387,-0.1179,-0.15%,20938652
12/31/13,79.3747,79.7555,79.3566,79.7555,0.5168,0.65%,27457067
1/2/14,79.3838,79.411,78.9032,79.1299,-0.6256,-0.78%,32192777
1/3/14,79.1299,79.2024,78.5405,78.5587,-0.5712,-0.72%,39401339
1/6/14,78.5677,78.6675,77.9784,78.2685,-0.2902,-0.37%,35393752
1/7/14,78.6131,79.1118,78.4861,78.9939,0.7254,0.93%,28578891
1/8/14,78.9848,79.3838,78.8307,79.1662,0.1723,0.22%,30008973
1/9/14,79.4472,79.4654,78.6312,78.9032,-0.263,-0.33%,26133174
1/10/14,79.1027,79.2478,78.5043,79.1571,0.2539,0.32%,41922300
1/13/14,79.0483,79.3203,77.6882,77.9874,-1.1697,-1.48%,53880962
1/14/14,78.2504,79.5379,78.2504,79.4744,1.487,1.91%,41020179
1/15/14,79.7918,80.2814,79.7374,80.1273,0.6529,0.82%,43960072
1/16/14,80.0457,80.2542,79.9369,80.1363,0.009,0.01%,37784578
1/17/14,79.9006,80.1273,79.4926,79.683,-0.4533,-0.57%,40704951
1/21/14,80.1908,80.3268,79.6195,80.2905,0.6075,0.76%,29151399
1/22/14,80.4718,80.6985,80.2633,80.499,0.2085,0.26%,32452416
1/23/14,80.2452,80.2633,79.6649,80.227,-0.272,-0.34%,38685836
1/24/14,79.8462,79.955,78.6221,78.6493,-1.5777,-1.97%,70953071
1/27/14,78.6765,78.7853,77.2983,77.8877,-0.7616,-0.97%,70226785
1/28/14,77.4524,77.9239,77.3527,77.8423,-0.0454,-0.06%,49011024
1/29/14,77.1623,77.7426,76.854,77.0082,-0.8341,-1.07%,57420349
1/30/14,77.9693,78.7037,77.8695,78.4317,1.4235,1.85%,73741884
1/31/14,77.5613,78.5949,77.4796,78.2232,-0.2085,-0.27%,49846293
2/3/14,78.1053,78.4317,76.2284,76.4279,-1.7953,-2.30%,72367207
2/4/14,76.7996,77.2983,76.582,76.99,0.5621,0.74%,41689832
2/5/14,76.7452,77.0626,75.9291,76.7905,-0.1995,-0.26%,46286607
2/6/14,77.0172,77.8695,76.9991,77.7698,0.9793,1.28%,35664618
2/7/14,78.2232,79.2115,77.9784,79.1571,1.3873,1.78%,42424329
2/10/14,79.0936,79.6467,79.0755,79.6105,0.4534,0.57%,33334346
2/11/14,79.7374,80.6713,79.6921,80.5172,0.9067,1.14%,42661217
2/12/14,80.6713,80.8527,80.4265,80.6713,0.1541,0.19%,35879684
2/13/14,80.0729,81.3332,80.0638,81.2698,0.5985,0.74%,44658282
2/14/14,81.2063,81.6143,80.9977,81.433,0.1632,0.20%,37592751
2/18/14,81.5418,81.9861,81.3695,81.8319,0.3989,0.49%,32660742
2/19/14,81.6687,81.8682,81.1065,81.2698,-0.5621,-0.69%,46072601
2/20/14,81.3332,81.8047,80.9796,81.6506,0.3808,0.47%,46136584
2/21/14,81.9045,82.0223,81.442,81.5418,-0.1088,-0.13%,34433474
2/24/14,81.6959,82.3488,81.6415,81.977,0.4352,0.53%,34759718
2/25/14,82.0858,82.2581,81.6234,81.8863,-0.0907,-0.11%,30290010
2/26/14,82.1221,82.3669,81.4874,81.8138,-0.0725,-0.09%,47388460
2/27/14,81.8257,82.4266,81.6983,82.3447,0.5309,0.65%,31576738
2/28/14,82.3174,82.8182,81.5253,82.2536,-0.0911,-0.11%,53403264
3/3/14,81.4706,81.8621,80.9152,81.6436,-0.61,-0.74%,42775666
3/4/14,82.5177,82.8364,82.454,82.6816,1.038,1.27%,36479144
3/5/14,82.8273,83.0549,82.6452,82.9092,0.2276,0.28%,29896653
3/6/14,83.0822,83.155,82.5359,82.8364,-0.0728,-0.09%,26454100
3/7/14,83.1004,83.1824,82.0078,82.4266,-0.4098,-0.49%,34239610
3/10/14,82.3902,82.5359,81.9714,82.4995,0.0729,0.09%,19921251
3/11/14,82.6998,82.9092,81.8986,82.1444,-0.3551,-0.43%,30209011
3/12/14,81.7802,82.4995,81.4706,82.454,0.3096,0.38%,30749584
3/13/14,82.7635,82.7908,80.9152,81.2885,-1.1655,-1.41%,53314073
3/14/14,81.0245,81.3796,80.6967,80.7331,-0.5554,-0.68%,42547113
3/17/14,81.2521,81.8621,81.2066,81.4433,0.7102,0.88%,31276356
3/18/14,81.5344,82.5268,81.5162,82.4266,0.9833,1.21%,34322423
3/19/14,82.454,82.545,81.4433,81.9805,-0.4461,-0.54%,44887159
3/20/14,81.7438,82.454,81.5617,82.2081,0.2276,0.28%,34744496
3/21/14,82.6882,82.7247,81.0547,81.219,-0.9891,-1.20%,68830325
3/24/14,81.5201,81.5749,79.768,80.5072,-0.7118,-0.88%,85182538
3/25/14,80.9361,81.4471,80.0965,80.7718,0.2646,0.33%,45720528
3/26/14,81.1825,81.3559,79.7224,79.7315,-1.0403,-1.29%,44851647
3/27/14,79.6402,79.9779,78.8463,79.2843,-0.4472,-0.56%,70990960
3/28/14,79.5307,80.3155,79.2205,79.4395,0.1552,0.20%,43717041
3/31/14,80.06,80.5437,79.9596,80.0053,0.5658,0.71%,37174217
4/1/14,80.3977,81.4654,80.0418,81.4106,1.4053,1.76%,42389835
4/2/14,81.7574,81.8395,81.2555,81.6205,0.2099,0.26%,37949418
4/3/14,81.7209,81.8395,80.5072,80.9726,-0.6479,-0.79%,33223643
4/4/14,81.4836,81.5931,78.609,78.8189,-2.1537,-2.66%,143783842
4/7/14,78.3353,79.0562,77.5231,78.0706,-0.7483,-0.95%,92042737
4/8/14,78.1619,78.901,77.8881,78.7915,0.7209,0.92%,56429054
4/9/14,79.0927,80.1878,78.8737,80.1422,1.3507,1.71%,50061944
4/10/14,80.1878,80.1969,77.4409,77.66,-2.4822,-3.10%,80716347
4/11/14,76.9755,77.9702,76.574,76.7565,-0.9035,-1.16%,102630056
4/14/14,77.4318,77.7695,76.647,77.3588,0.6023,0.78%,50955599
4/15/14,77.6234,78.0615,75.9991,77.6143,0.2555,0.33%,92739471
4/16/14,78.3261,78.6455,77.6508,78.6455,1.0312,1.33%,51470867
4/17/14,78.3809,79.0562,78.1436,78.6638,0.0183,0.02%,58865854
4/21/14,78.8554,79.2478,78.4813,79.2478,0.584,0.74%,28433792
4/22/14,79.4851,80.0783,79.3847,79.8775,0.6297,0.79%,42290759
4/23/14,79.8958,79.9049,79.1292,79.1748,-0.7027,-0.88%,37670101
4/24/14,80.4889,80.4981,79.0744,79.9323,0.7575,0.96%,53613442
4/25/14,79.4668,79.549,78.463,78.6547,-1.2776,-1.60%,48589518
4/28/14,79.0106,79.4942,77.6691,78.9102,0.2555,0.32%,64239997
4/29/14,79.1657,79.6859,78.7642,79.5399,0.6297,0.80%,40262625
4/30/14,79.2022,79.8319,78.9741,79.7497,0.2098,0.26%,42395979
5/1/14,79.8775,80.4433,79.6767,79.987,0.2373,0.30%,40684099
5/2/14,80.2517,80.4068,79.6494,79.841,-0.146,-0.18%,43913311
5/5/14,79.3756,80.279,79.1748,80.2608,0.4198,0.53%,30599521
5/6/14,80.1513,80.1787,79.1839,79.2205,-1.0403,-1.30%,36926892
5/7/14,79.3938,79.4668,78.0524,78.9923,-0.2282,-0.29%,73954757
5/8/14,78.7185,79.8775,78.5269,78.9193,-0.073,-0.09%,51017083
5/9/14,78.8554,79.2661,78.3444,79.2113,0.292,0.37%,38442422
5/12/14,79.6767,80.5437,79.6129,80.5163,1.305,1.65%,42682625
5/13/14,80.5984,80.8631,80.4159,80.5711,0.0548,0.07%,33215742
5/14/14,80.3338,80.6258,79.9596,80.1513,-0.4198,-0.52%,29020689
5/15/14,80.133,80.2699,79.0106,79.5216,-0.6297,-0.79%,65397735
